Voltage_V,Current_uA
0.5897,-48.6987
0.5929,-49.0988
0.5962,-48.6987
0.5994,-49.8988
0.6026,-49.0988
0.6058,-49.0988
0.6090,-48.6987
0.6122,-49.0988
0.6154,-49.0988
0.6186,-48.2988
0.6218,-49.4988
0.6250,-48.6987
0.6282,-49.4988
0.6314,-49.4988
0.6346,-49.4988
0.6378,-49.8988
0.6410,-49.4988
0.6442,-49.8988
0.6474,-48.6987
0.6506,-48.6987
0.6538,-49.0988
0.6571,-49.4988
0.6603,-47.8988
0.6635,-49.4988
0.6667,-49.0988
0.6699,-49.4988
0.6731,-49.0988
0.6763,-49.0988
0.6795,-49.0988
0.6827,-49.0988
0.6859,-49.0988
0.6891,-49.0988
0.6923,-48.6987
0.6955,-48.6987
0.6987,-49.4988
0.7019,-49.0988
0.7051,-48.6987
0.7083,-48.2988
0.7115,-49.4988
0.7147,-49.4988
0.7179,-48.2988
0.7212,-47.8988
0.7244,-49.4988
0.7276,-48.6987
0.7308,-49.4988
0.7340,-49.0988
0.7372,-49.0988
0.7404,-48.6987
0.7436,-48.2988
0.7468,-49.0988
0.7500,-49.4988
0.7532,-48.6987
0.7564,-49.0988
0.7596,-49.4988
0.7628,-49.8988
0.7660,-49.0988
0.7692,-48.6987
0.7724,-47.8988
0.7756,-49.4988
0.7788,-49.0988
0.7821,-49.4988
0.7853,-49.4988
0.7885,-48.2988
0.7917,-49.0988
0.7949,-48.6987
0.7981,-49.0988
0.8013,-48.6987
0.8045,-49.4988
0.8077,-48.6987
0.8109,-48.6987
0.8141,-49.0988
0.8173,-49.8988
0.8205,-48.6987
0.8237,-49.0988
0.8269,-49.0988
0.8301,-49.4988
0.8333,-48.6987
0.8365,-49.4988
0.8397,-48.2988
0.8429,-48.2988
0.8462,-49.0988
0.8494,-49.0988
0.8526,-49.4988
0.8558,-48.6987
0.8590,-49.4988
0.8622,-48.6987
0.8654,-48.6987
0.8686,-49.0988
0.8718,-48.6987
0.8750,-48.6987
0.8782,-48.2988
0.8814,-49.0988
0.8846,-49.0988
0.8878,-49.0988
0.8910,-49.0988
0.8942,-49.0988
0.8974,-49.4988
0.9006,-48.6987
0.9038,-48.2988
0.9071,-49.4988
0.9103,-49.0988
0.9135,-48.2988
0.9167,-47.8988
0.9199,-48.6987
0.9231,-48.6987
0.9263,-49.0988
0.9295,-48.6987
0.9327,-48.6987
0.9359,-48.6987
0.9391,-48.6987
0.9423,-49.4988
0.9455,-49.0988
0.9487,-48.6987
0.9519,-49.4988
0.9551,-48.6987
0.9583,-49.0988
0.9615,-49.8988
0.9647,-48.6987
0.9679,-47.8988
0.9712,-49.0988
0.9744,-48.2988
0.9776,-48.2988
0.9808,-49.0988
0.9840,-49.4988
0.9872,-48.6987
0.9904,-49.4988
0.9936,-49.0988
0.9968,-49.0988
1.0000,-48.6987
1.0000,-48.6987
0.9968,-49.4988
0.9936,-49.0988
0.9904,-48.2988
0.9872,-48.2988
0.9840,-49.8988
0.9808,-49.4988
0.9776,-49.0988
0.9744,-48.6987
0.9712,-48.6987
0.9679,-49.0988
0.9647,-49.4988
0.9615,-48.6987
0.9583,-48.6987
0.9551,-48.6987
0.9519,-48.6987
0.9487,-48.2988
0.9455,-48.2988
0.9423,-49.0988
0.9391,-49.0988
0.9359,-49.0988
0.9327,-47.8988
0.9295,-49.0988
0.9263,-49.0988
0.9231,-49.4988
0.9199,-49.4988
0.9167,-49.0988
0.9135,-49.0988
0.9103,-48.2988
0.9071,-48.6987
0.9038,-49.0988
0.9006,-49.0988
0.8974,-49.4988
0.8942,-49.4988
0.8910,-48.6987
0.8878,-48.6987
0.8846,-49.0988
0.8814,-49.8988
0.8782,-49.4988
0.8750,-48.6987
0.8718,-48.6987
0.8686,-49.0988
0.8654,-49.8988
0.8622,-47.8988
0.8590,-49.0988
0.8558,-49.0988
0.8526,-49.4988
0.8494,-47.8988
0.8462,-48.6987
0.8429,-49.0988
0.8397,-49.4988
0.8365,-48.6987
0.8333,-48.6987
0.8301,-49.4988
0.8269,-49.0988
0.8237,-48.6987
0.8205,-48.6987
0.8173,-48.6987
0.8141,-49.4988
0.8109,-48.6987
0.8077,-49.0988
0.8045,-49.4988
0.8013,-49.4988
0.7981,-49.0988
0.7949,-49.0988
0.7917,-49.0988
0.7885,-48.2988
0.7853,-49.0988
0.7821,-49.0988
0.7788,-48.6987
0.7756,-49.8988
0.7724,-49.0988
0.7692,-48.6987
0.7660,-48.6987
0.7628,-48.6987
0.7596,-48.2988
0.7564,-49.4988
0.7532,-49.4988
0.7500,-48.6987
0.7468,-48.6987
0.7436,-49.4988
0.7404,-49.0988
0.7372,-49.0988
0.7340,-48.2988
0.7308,-49.0988
0.7276,-49.4988
0.7244,-49.0988
0.7212,-47.8988
0.7179,-48.6987
0.7147,-48.6987
0.7115,-48.2988
0.7083,-49.4988
0.7051,-48.2988
0.7019,-48.6987
0.6987,-48.2988
0.6955,-49.4988
0.6923,-47.8988
0.6891,-48.6987
0.6859,-49.4988
0.6827,-48.6987
0.6795,-49.0988
0.6763,-49.0988
0.6731,-48.6987
0.6699,-49.4988
0.6667,-48.6987
0.6635,-49.0988
0.6603,-49.8988
0.6571,-48.2988
0.6538,-49.0988
0.6506,-49.4988
0.6474,-49.4988
0.6442,-48.6987
0.6410,-49.0988
0.6378,-48.6987
0.6346,-49.0988
0.6314,-49.0988
0.6282,-49.0988
0.6250,-48.6987
0.6218,-49.4988
0.6186,-49.0988
0.6154,-49.4988
0.6122,-48.6987
0.6090,-49.0988
0.6058,-48.6987
0.6026,-49.4988
0.5994,-47.8988
0.5962,-48.6987
0.5929,-49.0988
0.5897,-49.0988
0.5865,-48.6987
0.5833,-48.2988
0.5801,-49.4988
0.5769,-49.4988
0.5737,-49.4988
0.5705,-49.4988
0.5673,-48.6987
0.5641,-49.0988
